,0
129,C[N+](C)(CCOc1ccccc1)Cc1ccccc1.O=C(O)c1cc2ccccc2cc1[O-]
130,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1.Cl
131,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-]
132,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O.O
133,C/C=C(\C)C(=O)OC1[C@H](OC(C)=O)C2(CO)C(CC1(C)C)C1=CCC3C4(C)CCC(O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@](C)(CO)C4CCC3(C)[C@]1(C)C[C@H]2O
134,CNCCc1ccccn1.CS(=O)(=O)O.CS(=O)(=O)O
135,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
136,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl
137,Cl.NCCc1cc[nH]n1
138,CC(C[N+](C)(C)C)OC(=N)[O-].Cl
139,C[N+]1(C)C[C@H](O)C[C@H]1C(=O)[O-]
140,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
141,C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
142,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
143,O=C(O)CCCC[C@@H]1SC[C@@H]2N=C(O)N[C@H]12
144,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
145,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
146,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
147,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C
148,CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1
149,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
150,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](N=C(O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O
151,CCN(CC)CCN=C(O)c1cc(Br)c(N)cc1OC
152,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1
153,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O
154,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
155,CCCCOc1ccc(CC(O)=NO)cc1
156,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1.Cl
157,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
158,CCCCN1CCCCC1C(O)=Nc1c(C)cccc1C.Cl
159,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl
160,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
161,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1
162,CCCCOC(=O)c1ccc(N)cc1
163,O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O
164,NCCC(O)C(O)=NC1CC(N)C(OC2OC(CN)C(O)[C@H](O)[C@@H]2N)[C@H](OC2O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H]1O.O=S(=O)(O)O.O=S(=O)(O)O
165,NCCC(O)C(O)=NC1CC(N)C(OC2OC(CN)C(O)C(O)C2N)C(OC2OC(CO)C(O)C2O)C1O
166,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O
167,CCCCOC(=O)c1ccc(O)cc1
168,CC(/C=C/c1cccc(Oc2ccc(F)cc2)c1)N(O)C(=N)O
169,C=C1C(=O)OC(CCCCCCCC)C1C(=O)O
170,O=C(O)/C=C/c1ccc(O)c(O)c1
171,N=c1nc([O-])c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)O)cc1)N2C=O.[Ca+2]
172,CC(C)(CO)[C@@H](O)C(O)=NCCC(=O)O.CC(C)(CO)[C@@H](O)C([O-])=NCCC(=O)[O-].O.[Ca+2]
173,Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1.[Cl-]
174,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
175,C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@]2(O)CCC(=O)[O-].[K+]
176,C[C@]12C(=O)OC(=O)[C@@]1(C)[C@@H]1CC[C@H]2O1
177,COc1cc(CN=C(O)CCCC/C=C/C(C)C)ccc1O
178,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
179,C[N+](C)(C)CCOC(=N)[O-].Cl
180,N=C(O)N1c2ccccc2C=Cc2ccccc21
181,N=C(O)N1c2ccccc2C=Cc2ccccc21
182,N=C(O)Nc1ccc([As](=O)(O)O)cc1
183,CCOC(=O)n1ccn(C)c1=S
184,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O
185,NCCC(O)=NCCc1cnc[nH]1
186,CCCC(C)(COC(=N)O)COC(O)=NC(C)C
187,O=NN(CCCl)C(O)=NCCCl
188,CC(C)(C)NCC(O)COc1cccc2c1CCC(O)=N2.Cl
189,CCOC(=O)c1ccc(N=Nc2ccc(O)c(CC(=O)O)c2)cc1
190,N[C@@H](C(O)=N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1
191,CC1=C(C(=O)O)N2C(=O)[C@@H](N=C(O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
192,CC1=C(C(=O)O)N2C(=O)[C@@H](N=C(O)[C@H](N)c3ccccc3)[C@H]2SC1
193,N=C(O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](N=C(O)Cc4cccs4)[C@H]3SC2)cc1
194,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N=C([O-])Cc3cccs3)[C@H]2SC1.[Na+]
195,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](N=C([O-])[C@H](O)c3ccccc3)[C@H]2SC1.[Na+]
196,CO/N=C(\C(O)=N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(=N)[nH]1.Cl.Cl.O
197,CO[C@@]1(N=C([O-])CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21.[Na+]
198,CCN1CCN(C(O)=N[C@@H](C(O)=N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O.O.O
